Call_ID,Arrival_Time,Service_Start_Time,Service_End_Time,Waiting_Time,Service_Duration,Agent_ID,Queue_Length_On_Arrival
1,3,3,12.42,0,9.42,1,0
2,5,5,99.24,0,94.24,2,0
3,6,6,70.56,0,64.56,3,0
4,7,13,46.14,6,33.14,1,0
5,14,47,53.59,33,6.59,1,8
6,17,54,64.71,37,10.71,1,12
7,18,65,152.36,47,87.36,1,17
8,19,71,92.7,52,21.7,3,19
9,28,93,101.61,65,8.61,3,24
10,32,100,125.81,68,25.81,2,23
11,39,102,118.81,63,16.81,3,23
12,42,119,181.6,77,62.6,3,26
13,45,126,207.82,81,81.82,2,25
14,48,153,324.71,105,171.71,1,27
15,50,182,223.36,132,41.36,3,31
16,51,208,223.18,157,15.18,2,36
17,52,224,249.2,172,25.2,2,38
18,53,224,242.49,171,18.49,3,37
19,55,243,318.77,188,75.77,3,41
20,58,250,251.33,192,1.33,2,42
21,59,252,280.55,193,28.55,2,41
22,62,281,308.04,219,27.04,2,49
23,63,309,342.53,246,33.53,2,55
24,64,319,346.37,255,27.37,3,58
25,66,325,361.09,259,36.09,1,57
26,69,343,353.43,274,10.43,2,60
27,70,347,436.0,277,89.0,3,60
28,72,354,354.48,282,0.48,2,61
29,75,355,455.29,280,100.29,2,60
30,76,362,445.31,286,83.31,1,60
31,78,436,471.87,358,35.87,3,76
32,85,446,476.76,361,30.76,1,77
33,93,456,466.22,363,10.22,2,78
34,102,467,483.75,365,16.75,2,81
35,104,472,485.19,368,13.19,3,80
36,105,477,536.13,372,59.13,1,80
37,106,484,491.17,378,7.17,2,82
38,119,486,584.75,367,98.75,3,81
39,128,492,498.92,364,6.92,2,82
40,129,499,499.33,370,0.33,2,85
41,133,500,533.51,367,33.51,2,84
42,157,534,582.91,377,48.91,2,91
43,158,537,538.42,379,1.42,1,91
44,160,539,562.66,379,23.66,1,90
45,167,563,563.62,396,0.62,1,93
46,171,564,622.71,393,58.71,1,93
47,187,583,611.46,396,28.46,2,95
48,188,585,594.6,397,9.6,3,95
49,192,595,619.34,403,24.34,3,97
50,194,612,671.9,418,59.9,2,100
51,199,620,629.43,421,9.43,3,100
52,205,623,642.29,418,19.29,1,99
53,220,630,639.88,410,9.88,3,99
54,221,640,645.9,419,5.9,3,100
55,223,643,691.01,420,48.01,1,100
56,225,646,655.61,421,9.61,3,100
57,230,656,690.87,426,34.87,3,105
58,235,672,685.25,437,13.25,2,109
59,236,686,692.8,450,6.8,2,112
60,242,691,816.22,449,125.22,3,111
61,244,692,732.21,448,40.21,1,111
62,246,693,694.45,447,1.45,2,111
63,253,695,754.62,442,59.62,2,110
64,254,733,772.69,479,39.69,1,118
65,255,755,758.18,500,3.18,2,119
66,272,759,761.25,487,2.25,2,118
67,273,762,769.12,489,7.12,2,119
68,274,770,786.92,496,16.92,2,118
69,275,773,780.56,498,7.56,1,117
70,277,781,798.45,504,17.45,1,117
71,279,787,799.93,508,12.93,2,117
72,284,799,843.42,515,44.42,1,119
73,287,800,813.52,513,13.52,2,118
74,292,814,832.01,522,18.01,2,121
75,297,817,889.3,520,72.3,3,120
76,303,833,910.84,530,77.84,2,121
77,305,844,848.49,539,4.49,1,123
78,307,849,865.56,542,16.56,1,124
79,314,866,919.81,552,53.81,1,128
80,315,890,990.07,575,100.07,3,132
81,316,911,941.46,595,30.46,2,138
82,318,920,924.76,602,4.76,1,139
83,326,925,937.77,599,12.77,1,138
84,327,938,968.58,611,30.58,1,140
85,333,942,951.18,609,9.18,2,140
86,336,952,965.41,616,13.41,2,143
87,344,966,989.03,622,23.03,2,144
88,350,969,996.8,619,27.8,1,144
89,353,990,994.46,637,4.46,2,149
90,360,991,1024.29,631,33.29,3,148
91,363,995,1004.59,632,9.59,2,147
92,369,997,1034.8,628,37.8,1,146
93,370,1005,1062.58,635,57.58,2,147
94,372,1025,1068.91,653,43.91,3,150
95,382,1035,1049.34,653,14.34,1,151
96,383,1050,1168.51,667,118.51,1,151
97,390,1063,1145.13,673,82.13,2,152
98,401,1069,1107.39,668,38.39,3,153
99,406,1108,1200.01,702,92.01,3,160
100,407,1146,1157.31,739,11.31,2,168
101,409,1158,1176.14,749,18.14,2,170
102,410,1169,1191.9,759,22.9,1,170
103,411,1177,1198.95,766,21.95,2,173
104,416,1192,1203.86,776,11.86,1,176
105,422,1199,1216.27,777,17.27,2,177
106,426,1201,1223.88,775,22.88,3,176
107,427,1204,1207.28,777,3.28,1,175
108,443,1208,1231.65,765,23.65,1,175
109,444,1217,1228.18,773,11.18,2,176
110,452,1224,1250.46,772,26.46,3,176
111,454,1229,1262.65,775,33.65,2,177
112,461,1232,1233.93,771,1.93,1,177
113,462,1234,1240.15,772,6.15,1,176
114,463,1241,1259.64,778,18.64,1,176
115,466,1251,1283.56,785,32.56,3,177
116,473,1260,1345.22,787,85.22,1,176
117,481,1263,1269.6,782,6.6,2,175
118,482,1270,1282.44,788,12.44,2,175
119,483,1283,1287.77,800,4.77,2,175
120,490,1284,1368.46,794,84.46,3,174
121,492,1288,1288.07,796,0.07,2,173
122,493,1289,1320.91,796,31.91,2,172
123,494,1321,1353.22,827,32.22,2,173
124,495,1346,1403.38,851,57.38,1,176
125,498,1354,1361.6,856,7.6,2,178
126,503,1362,1390.64,859,28.64,2,177
127,510,1369,1401.62,859,32.62,3,176
128,511,1391,1392.82,880,1.82,2,177
129,515,1393,1448.44,878,55.44,2,176
130,516,1402,1451.99,886,49.99,3,178
131,522,1404,1419.7,882,15.7,1,177
132,529,1420,1465.85,891,45.85,1,179
133,532,1449,1471.27,917,22.27,2,185
134,537,1452,1485.28,915,33.28,3,185
135,544,1466,1477.84,922,11.84,1,185
136,545,1472,1484.6,927,12.6,2,184
137,549,1478,1501.91,929,23.91,1,183
138,556,1485,1523.58,929,38.58,2,185
139,564,1486,1504.97,922,18.97,3,184
140,565,1502,1513.66,937,11.66,1,185
141,567,1505,1523.68,938,18.68,3,184
142,580,1514,1519.15,934,5.15,1,185
143,585,1520,1577.7,935,57.7,1,184
144,593,1524,1536.83,931,12.83,2,183
145,594,1524,1548.69,930,24.69,3,182
146,595,1537,1587.32,942,50.32,2,185
147,596,1549,1568.21,953,19.21,3,185
148,608,1569,1647.81,961,78.81,3,184
149,610,1578,1600.72,968,22.72,1,184
150,611,1588,1687.72,977,99.72,2,184
151,615,1601,1678.68,986,77.68,1,187
152,627,1648,1666.7,1021,18.7,3,197
153,633,1667,1708.51,1034,41.51,3,200
154,636,1679,1707.1,1043,28.1,1,201
155,642,1688,1703.13,1046,15.13,2,202
156,646,1704,1715.11,1058,11.11,2,203
157,647,1708,1748.09,1061,40.09,1,203
158,648,1709,1884.19,1061,175.19,3,202
159,649,1716,1716.8,1067,0.8,2,201
160,650,1717,1757.15,1067,40.15,2,200
161,651,1749,1763.66,1098,14.66,1,203
162,654,1758,1808.68,1104,50.68,2,207
163,661,1764,1853.54,1103,89.54,1,206
164,663,1809,1809.59,1146,0.59,2,214
165,664,1810,1831.99,1146,21.99,2,213
166,665,1832,1873.88,1167,41.88,2,218
167,666,1854,1872.93,1188,18.93,1,222
168,673,1873,1893.49,1200,20.49,1,224
169,674,1874,1884.42,1200,10.42,2,223
170,675,1885,1943.45,1210,58.45,2,225
