Call_ID,Arrival_Time,Service_Start_Time,Service_End_Time,Waiting_Time,Service_Duration,Agent_ID,Queue_Length_On_Arrival
1,2,2,72.81,0,70.81,1,0
2,3,3,7.64,0,4.64,2,0
3,9,9,74.77,0,65.77,2,0
4,10,10,44.27,0,34.27,3,0
5,13,13,105.67,0,92.67,4,0
6,19,19,64.99,0,45.99,5,0
7,20,20,41.31,0,21.31,6,0
8,24,24,35.9,0,11.9,7,0
9,28,28,98.85,0,70.85,8,0
10,36,36,51.74,0,15.74,7,0
11,40,40,51.6,0,11.6,9,0
12,44,44,74.58,0,30.58,6,0
13,48,48,48.32,0,0.32,3,0
14,58,58,64.91,0,6.91,3,0
15,61,61,81.29,0,20.29,7,0
16,68,68,68.84,0,0.84,3,0
17,76,76,103.81,0,27.81,1,0
18,81,81,120.42,0,39.42,2,0
19,82,82,113.42,0,31.42,3,0
20,83,83,134.38,0,51.38,5,0
21,91,91,171.29,0,80.29,6,0
22,95,95,135.63,0,40.63,7,0
23,96,96,126.68,0,30.68,9,0
24,104,104,155.84,0,51.84,1,0
25,114,114,144.33,0,30.33,3,0
26,116,116,116.76,0,0.76,4,0
27,117,117,151.2,0,34.2,4,0
28,125,125,161.84,0,36.84,2,0
29,126,126,139.47,0,13.47,8,0
30,127,127,178.56,0,51.56,9,0
31,128,135,174.59,7,39.59,5,3
32,130,136,228.88,6,92.88,7,2
33,132,140,158.07,8,18.07,8,3
34,133,145,176.97,12,31.97,3,3
35,137,152,173.54,15,21.54,4,3
36,138,156,175.88,18,19.88,1,3
37,145,159,159.15,14,0.15,8,2
38,147,160,218.42,13,58.42,8,1
39,153,162,217.3,9,55.3,2,0
40,179,179,196.29,0,17.29,1,0
41,184,184,245.98,0,61.98,3,0
42,185,185,225.31,0,40.31,4,0
43,191,191,201.15,0,10.15,5,0
44,192,192,205.04,0,13.04,6,0
45,203,203,204.44,0,1.44,1,0
46,208,208,212.15,0,4.15,1,0
47,222,222,232.9,0,10.9,1,0
48,226,226,277.92,0,51.92,2,0
49,229,229,268.57,0,39.57,4,0
50,230,230,240.63,0,10.63,5,0
51,243,243,249.35,0,6.35,1,0
52,246,246,279.37,0,33.37,3,0
53,249,249,314.0,0,65.0,5,0
54,252,252,255.88,0,3.88,1,0
55,255,255,281.64,0,26.64,6,0
56,264,264,284.33,0,20.33,1,0
57,265,265,281.06,0,16.06,7,0
58,273,273,328.57,0,55.57,4,0
59,275,275,287.09,0,12.09,8,0
60,287,287,324.36,0,37.36,1,0
61,293,293,343.95,0,50.95,2,0
62,295,295,295.59,0,0.59,3,0
63,310,310,366.94,0,56.94,3,0
64,321,321,332.73,0,11.73,5,0
65,326,326,362.14,0,36.14,1,0
66,327,327,394.47,0,67.47,6,0
67,328,328,347.47,0,19.47,7,0
68,332,332,350.06,0,18.06,4,0
69,336,336,423.53,0,87.53,5,0
70,345,345,373.37,0,28.37,2,0
71,346,346,357.84,0,11.84,8,0
72,352,352,369.48,0,17.48,4,0
73,353,353,356.87,0,3.87,7,0
74,354,354,363.52,0,9.52,9,0
75,355,357,380.07,2,23.07,7,0
76,363,363,460.03,0,97.03,1,0
77,364,364,377.99,0,13.99,8,0
78,365,365,382.39,0,17.39,9,0
79,367,367,379.07,0,12.07,3,0
80,375,375,440.92,0,65.92,2,0
81,381,381,389.64,0,8.64,3,0
82,388,388,458.66,0,70.66,4,0
83,392,392,403.48,0,11.48,3,0
84,394,394,459.1,0,65.1,7,0
85,398,398,440.08,0,42.08,6,0
86,400,400,418.6,0,18.6,8,0
87,404,404,503.82,0,99.82,3,0
88,414,414,462.92,0,48.92,9,0
89,415,419,433.6,4,14.6,8,1
90,418,424,450.91,6,26.91,5,0
91,436,436,440.81,0,4.81,8,0
92,459,459,466.7,0,7.7,2,0
93,464,464,473.63,0,9.63,1,0
94,467,467,525.73,0,58.73,2,0
95,468,468,472.97,0,4.97,4,0
96,469,469,481.94,0,12.94,5,0
97,470,470,533.06,0,63.06,6,0
98,473,473,533.38,0,60.38,4,0
99,480,480,572.5,0,92.5,1,0
100,483,483,566.0,0,83.0,5,0
101,485,485,610.64,0,125.64,7,0
102,487,487,548.98,0,61.98,8,0
103,489,489,505.2,0,16.2,9,0
104,496,504,535.4,8,31.4,3,2
105,500,506,508.88,6,2.88,9,2
106,502,509,514.3,7,5.3,9,1
107,506,515,535.27,9,20.27,9,3
108,513,526,584.28,13,58.28,2,2
109,514,534,541.22,20,7.22,4,3
110,515,534,568.57,19,34.57,6,2
111,531,536,542.2,5,6.2,3,3
112,532,536,566.95,4,30.95,9,2
113,535,542,595.23,7,53.23,4,3
114,536,543,588.27,7,45.27,3,2
115,537,549,568.21,12,19.21,8,1
116,541,566,570.9,25,4.9,5,1
117,565,567,590.29,2,23.29,9,0
118,574,574,605.11,0,31.11,1,0
119,579,579,720.79,0,141.79,5,0
120,580,580,678.83,0,98.83,6,0
121,584,584,608.72,0,24.72,8,0
122,585,585,609.65,0,24.65,2,0
123,586,589,604.72,3,15.72,3,2
124,587,591,608.24,4,17.24,9,1
125,588,596,608.58,8,12.58,4,0
126,604,605,639.82,1,34.82,3,0
