Call_ID,Arrival_Time,Service_Start_Time,Service_End_Time,Waiting_Time,Service_Duration,Agent_ID,Queue_Length_On_Arrival
1,2,2,27.11,0,25.11,1,0
2,3,3,56.62,0,53.62,2,0
3,4,4,24.31,0,20.31,3,0
4,5,5,22.86,0,17.86,4,0
5,6,6,8.39,0,2.39,5,0
6,12,12,12.5,0,0.5,5,0
7,20,20,26.6,0,6.6,5,0
8,21,23,29.53,2,6.53,4,0
9,40,40,40.3,0,0.3,1,0
10,54,54,102.28,0,48.28,1,0
11,62,62,84.25,0,22.25,2,0
12,78,78,97.59,0,19.59,3,0
13,80,80,99.65,0,19.65,4,0
14,81,81,105.18,0,24.18,5,0
15,83,85,149.69,2,64.69,2,0
16,102,102,133.84,0,31.84,3,0
17,104,104,113.63,0,9.63,1,0
18,107,107,158.39,0,51.39,4,0
19,112,112,118.33,0,6.33,5,0
20,118,118,118.47,0,0.47,1,0
21,119,119,125.75,0,6.75,1,0
22,122,122,147.69,0,25.69,5,0
23,124,126,140.46,2,14.46,1,1
24,126,134,141.89,8,7.89,3,3
25,128,141,316.95,13,175.95,1,4
26,130,142,158.09,12,16.09,3,3
27,131,148,151.54,17,3.54,5,4
28,139,150,155.55,11,5.55,2,5
29,140,152,203.72,12,51.72,5,4
30,143,156,161.35,13,5.35,2,6
31,146,159,179.15,13,20.15,3,6
32,149,159,162.47,10,3.47,4,5
33,150,162,202.38,12,40.38,2,4
34,153,163,174.75,10,11.75,4,3
35,155,175,253.37,20,78.37,4,4
36,156,180,266.5,24,86.5,3,5
37,158,203,215.94,45,12.94,2,11
38,167,204,207.59,37,3.59,5,10
39,169,208,278.64,39,70.64,5,10
40,176,216,218.74,40,2.74,2,11
41,178,219,270.26,41,51.26,2,10
42,186,254,255.77,68,1.77,4,12
43,190,256,373.55,66,117.55,4,11
44,192,267,313.41,75,46.41,3,13
45,194,271,277.39,77,6.39,2,12
46,195,278,288.71,83,10.71,2,11
47,196,279,322.47,83,43.47,5,10
48,198,289,319.59,91,30.59,2,9
49,206,314,332.88,108,18.88,3,15
50,209,317,353.3,108,36.3,1,14
51,210,320,338.57,110,18.57,2,14
52,228,323,378.36,95,55.36,5,13
53,230,333,357.06,103,24.06,3,13
54,234,339,345.29,105,6.29,2,12
55,258,346,382.73,88,36.73,2,12
56,260,354,383.98,94,29.98,1,11
57,265,358,363.43,93,5.43,3,11
58,292,364,364.25,72,0.25,3,12
59,293,365,456.41,72,91.41,3,11
60,296,374,388.44,78,14.44,4,15
61,297,379,448.45,82,69.45,5,16
62,305,383,384.96,78,1.96,2,15
63,309,384,424.53,75,40.53,1,14
64,313,385,434.9,72,49.9,2,13
65,320,389,457.08,69,68.08,4,12
66,326,425,483.65,99,58.65,1,22
67,344,435,460.57,91,25.57,2,22
68,355,449,471.19,94,22.19,5,26
69,361,457,527.04,96,70.04,3,26
70,364,458,471.71,94,13.71,4,25
71,367,461,469.23,94,8.23,2,24
72,370,470,521.82,100,51.82,2,24
73,371,472,522.42,101,50.42,4,23
74,372,472,516.43,100,44.43,5,22
75,374,484,537.03,110,53.03,1,24
76,376,517,535.0,141,18.0,5,31
77,377,522,532.68,145,10.68,2,30
78,390,523,669.94,133,146.94,4,29
79,393,528,533.05,135,5.05,3,29
80,404,533,606.59,129,73.59,2,29
81,405,534,637.72,129,103.72,3,28
82,406,536,548.15,130,12.15,5,27
83,408,538,603.6,130,65.6,1,26
84,409,549,550.39,140,1.39,5,26
85,411,551,599.68,140,48.68,5,26
86,412,600,605.86,188,5.86,5,36
87,422,604,629.17,182,25.17,1,39
88,423,606,668.98,183,62.98,5,38
89,431,607,627.7,176,20.7,2,37
90,442,628,658.95,186,30.95,2,40
91,443,630,668.37,187,38.37,1,39
92,444,638,648.88,194,10.88,3,39
93,447,649,654.58,202,5.58,3,39
94,448,655,672.87,207,17.87,3,40
95,453,659,664.11,206,5.11,2,40
96,468,665,682.73,197,17.73,2,39
97,473,669,703.96,196,34.96,1,39
98,475,669,742.26,194,73.26,5,38
99,479,670,696.14,191,26.14,4,38
100,494,673,678.93,179,5.93,3,37
101,497,679,716.73,182,37.73,3,38
102,499,683,710.92,184,27.92,2,39
103,502,697,702.48,195,5.48,4,39
104,504,703,760.06,199,57.06,4,39
105,505,704,707.09,199,3.09,1,38
106,514,708,738.45,194,30.45,1,38
107,515,711,723.75,196,12.75,2,38
108,524,717,720.81,193,3.81,3,37
109,532,721,734.3,189,13.3,3,36
110,549,724,823.69,175,99.69,2,35
111,550,735,785.02,185,50.02,3,34
112,552,739,754.37,187,15.37,1,37
113,553,743,744.26,190,1.26,5,36
114,557,745,784.4,188,39.4,5,35
115,560,755,770.31,195,15.31,1,35
116,565,761,823.4,196,62.4,4,37
117,569,771,813.5,202,42.5,1,37
118,572,785,983.15,213,198.15,5,39
119,578,786,786.85,208,0.85,3,39
120,584,787,787.37,203,0.37,3,38
121,592,788,797.32,196,9.32,3,38
122,596,798,809.4,202,11.4,3,40
123,601,810,832.44,209,22.44,3,41
124,602,814,877.96,212,63.96,1,40
125,603,824,860.38,221,36.38,2,40
126,604,824,913.84,220,89.84,4,39
127,615,833,841.4,218,8.4,3,41
128,620,842,853.09,222,11.09,3,43
129,622,854,888.69,232,34.69,3,45
130,628,861,874.28,233,13.28,2,46
131,634,875,880.45,241,5.45,2,50
132,647,878,894.36,231,16.36,1,49
133,652,881,888.79,229,7.79,2,49
134,654,889,913.34,235,24.34,2,53
135,656,889,902.39,233,13.39,3,52
136,669,895,933.61,226,38.61,1,52
137,670,903,964.85,233,61.85,3,55
138,677,914,915.08,237,1.08,2,59
139,678,914,923.26,236,9.26,4,58
140,681,916,980.53,235,64.53,2,58
141,682,924,990.34,242,66.34,4,62
142,688,934,937.89,246,3.89,1,63
143,702,938,946.02,236,8.02,1,62
144,708,947,991.23,239,44.23,1,67
145,709,965,997.35,256,32.35,3,73
146,736,981,992.61,245,11.61,2,74
147,737,984,1044.19,247,60.19,5,74
148,738,991,1004.03,253,13.03,4,76
149,739,992,1008.35,253,16.35,1,75
150,749,993,1008.5,244,15.5,2,74
151,758,998,1011.21,240,13.21,3,73
152,759,1005,1011.91,246,6.91,4,73
153,760,1009,1013.86,249,4.86,1,72
154,771,1009,1044.19,238,35.19,2,71
155,772,1012,1022.97,240,10.97,3,70
156,774,1012,1041.2,238,29.2,4,69
157,777,1014,1024.03,237,10.03,1,68
158,786,1023,1071.47,237,48.47,3,68
159,788,1025,1031.58,237,6.58,1,67
160,789,1032,1040.15,243,8.15,1,70
